Employer_OrganizationName,Employer_EmployerName,Employer_Telephone,Employer_Email,email_quality
สจจ.สงขลา,บริษัท เคแอนด์เค ซุปเปอร์สโตร์ เซาท์เทิร์น จำกัด (มหาชน),074205288,hr@kandk.co.th,1
สจจ.นนทบุรี,เอ.ไอ.เอ็มสยาม จำกัด,02-1976700-4,atitaya@aim-siam.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท ออล ซิสเต็ม โก จำกัด,02-9076046/02-9151626,xxx@xxx.xxx,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),02-6658000,chayakorn.l@cpf.co.th,1
สจจ.สุราษฎร์ธานี,บริษัท ชนเกษมอลูมิเนียมแอนด์กลาส จำกัด,077-274931-2,omewisuti@gmail.com,1
สจจ.สุราษฎร์ธานี,บมจ. ทรู คอร์ปอเรชั่น สาขาสุราษฎร์ธานี,086-4163985,Wipawadee_Suk@truecorp.co.th,1
สจจ.สุราษฎร์ธานี,บริษัท ซีพี ออลล์ จำกัด (มหาชน) สาขาสุราษฎร์ธานี,082-5160077  091-0047612,nitinantho@cpaii.coth,1
สจจ.สุราษฎร์ธานี,บริษัท ไทยลอตเต้ จำกัด สุราษฎร์ธานี,086-3320074,Sales_sr@lotte.co.th,1
สจจ.เชียงราย,บริษัท โฮม สุขภัณฑ์ จำกัด (เชียงราย),053-774623,jobfairchiangrai@gmail.com,1
สจจ.เชียงราย,บริษัท บิ๊กซี ซูเปอร์เซ็นเตอร์ จำกัด(มหาชน)(เชียงราย),053153211,sgm.chiangrai@bigc.go.th,1
สจจ.เชียงราย,บริษัท เชียงรายสินธานี จำกัด,053-153311,sinthanee.hr@gmail.com,1
สจจ.ลพบุรี,นายสายชล  แจ้จัตุรัส,081-5451219,xxx@xxx.xxx,0
สจจ.ลพบุรี,บริษัท ไทยรุ่งเรืองลพบุรีธุรกิจ จำกัด ลพบุรี,036-785334-6,trrhn222@hotmail.com,0
สจจ.ลพบุรี,บริษัท ไทยลอตเต้ จำกัด สาขาลพบุรี,083-0968201,sales_ib@lotte.co.th,1
สจจ.กาฬสินธุ์,ห้างทองเยาวราชกาฬสินธุ์ จำกัด,043011424,xxx@gmail.com,0
สจจ.กาฬสินธุ์,บริบัท ทวีสินคอนกรีต จำกัด,043816822,TSC.CPAC@gmail.com,1
สจจ.มุกดาหาร,บจก. เฮ็ลธ์ฟู้ดส์ คอร์ปอเรชั่น  สาขามุกดาหาร,091-1201953,hs0911202029@gmail.com,1
สจจ.กาฬสินธุ์,ห้างหุ้นส่วนจำกัด ส.ทวีสินกาฬสินธุ์,0864509189,sotaweesin2013@gmail.com,1
สจจ.ปราจีนบุรี,บริษัท สยามชัย เซอร์วิส จำกัด สาขา ปราจีนบุรี,0893094130,hhhhhh@gmail.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑๐,บริษัท บอส เอ้าท์ซอร์สซิ่ง เซอร์วิส จำกัด,02-6454071-3,outsource4@boss-groups.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑๐,บริษัท สำนักพิมพ์นิตยสารยานยนต์ จำกัด,026918130,jk_kan2008@hotmail.com,1
สจจ.ลพบุรี,บริษัท บีเอ็มจี ไอศครีม จำกัด,036-424603-4,xxx@xxx.com,0
สจจ.ลพบุรี,หจก.พรเพชร  กิจทวีทรัพย์,086-3579481,xxx@xxx.xxx,0
สจจ.สตูล,บริษัท ทวิน ซัน จำกัด,0630109999,twinsunj9.human@gmail.com,1
สจจ.กาญจนบุรี,วงษากิจรุ่งเรือง,0900059906,liponf@hotmail.com,1
สจจ.กาญจนบุรี,บริษัท ควิก ลิสซิ่ง จำกัด (กาญจนบุรี),034515222,xxx@hotmail.com,0
สจจ.เชียงราย,บริษัท ที.เอ็น.พี.วัสดุภัณฑ์ จำกัด,084-3789478,jobfairchiangrai@gmail.com,1
สจจ.มุกดาหาร,บริษัท สยามชัย เซอร์วิส จำกัด สาขามุกดาหาร,087 094 3332,Jungthai2556@gmail.com,1
สจจ.มุกดาหาร,บจก. ซีพีเอฟ เทรดดิ้ง สาขามุกดาหาร (CP Fresh Mart มุกดาหาร),042-633151,ewqewq623@gmail.com,1
สจจ.มุกดาหาร,JIB COMPUTER มุกดาหาร (บจก. เจ.ไอ.บี.คอมพิวเตอร์ กรุ๊ป),090 678 7795/042-611771,deal@jib.co.th,1
สจจ.มุกดาหาร,โรงพยาบาลสัตว์มุกดาหาร,042-630-694/089-7126659,anupongveter@gmail.com,1
สจจ.มุกดาหาร,บริษัท รวมทวีมอเตอร์เซลล์ จำกัด สาขามุกดาหาร,042-639362-4/089-4222264,ruammuk@gmail.com,1
สจจ.มุกดาหาร,ร้านมุกดาหารชัตเตอร์,042 611 986/088-3779393/098-6419596,mukdahan.shutter@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท ศรีเทพไทย มาร์เก็ตติ้ง จำกัด,02-398-0027,hr@srithepthai.com,1
สจจ.สมุทรปราการ,ไทย-เยนเนอเรเตอร์ เซลส์ แอนด์ เซอร์วิส จำกัด,023995937,sales@thaigenerator.co.th,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท สมุนไพรสุภาภรณ์อิมปอร์ตเอ็กซปอร์ต จำกัด,02-4512324,xx@hotmail.com,0
สจจ.สุโขทัย,หจก.ปลาเงินก่อสร้าง,0899994934,sti@doe.go.th,1
สจจ.เพชรบุรี,ห้างหุ้นส่วนจำกัด ฮอนด้าเพชรบุรี (เจียมกิมฮะ),032427917,jiamkimha@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท สเวนเซ่นส์ (ไทย) จำกัด,0850638380,smedi411@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท โพรเฟสชั่นนัล ดราย คลีน เซ็นเตอร์ จำกัด,02-383-9173-4,washmecleaning@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท ซีพีเอฟ เรสเทอรองท์ แอนด์ ฟู้ดเชน จำกัด,02-7469218,000@gmail.com,0
สจจ.ประจวบคีรีขันธ์,บริษท เอ เชียร์ ฟู้ด อินเตอร์กรุ๊ป2020จำกัด,094-8266261,koy_pkn@hotmail.com,1
สจจ.กาฬสินธุ์,บริษัท ซี.เอส.เค. เบเวอร์เรจ (2011) จำกัด สาขากาฬสินธุ์,"093-3193448,093-3193499",methaphon28012529@gmail.com,1
สจจ.สงขลา,บริษัท ห้างเพชรทองรัตนมณี จำกัด,074-314888,smartjobska@hotmail.com,1
สจจ.สงขลา,บริษัทแปซิฟิคแปรรูปสัตว์น้ำ จำกัด,074-303999,sofiya@pfp-pacific.com,1
สจจ.หนองคาย,หจก.เฮียบหงวนมิลเลอร์ สาขาหนองคาย,042-423535,natgritta2016@gmail.com,1
สจจ.เชียงใหม่,ห้างหุ้นส่วนจำกัด สยามล้านนา บีทาเก้น,088-2511761,xxx@xxx.xxx,0
สจจ.เชียงใหม่,บริษัท โชคชัยแลนด์เอสเตท จำกัด,"053-863072 ,080-6005009",xxx@xxx.xxx,0
สจจ.หนองคาย,บริษัท สกุลกิม จำกัด,000000,natgritta2016@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๙,บริษัท สยามนิสสันทวีทรัพย์ จำกัด,02-123-4567,xxx@xxx.xxx,0
สจจ.ชลบุรี,บริษัท ควอลิตี้ มีท โปรเซสซิ่ง จำกัด,089-7488714,123@hotmail.com,0
สจจ.สระบุรี,บริษัท วิริยะโลหะกิจ จำกัด สระบุรี,036-7122222-28,viriyalohakij.hr@gmail.com,1
สจจ.ศรีสะเกษ,บริษัท ศรีสะเกษกิจเจริญไทย  จำกัด,045612020,ssk@doe.go.th,1
สจจ.สระแก้ว,เอสซีซี มอเตอร์ สระแก้ว จำกัด,"037-241999,090-9791283",arunphan1@hotmail.com,1
สจจ.สงขลา,หจก. ฉัตรเพชร ก่อสร้าง (2013),"074-382039,082-8223678",klinchuwong@gmail.com,1
สจจ.นนทบุรี,บริษัท สมาร์ท โฮมโปรดักส์ จำกัด,02-4225995,human@smarthomep.org,1
สจจ.ประจวบคีรีขันธ์,บริษัท ไทยลอตเต้ จำกัด (สาขาหัวหิน),0863170370,sales_pc@lotte.co.th,1
สจจ.มุกดาหาร,ห้างหุ้นส่วนจำกัด มุกดา เดลี่ มิลค์,042-630691/0851969699,ewqewq623@gmail.com,1
สจจ.นครพนม,บริษัท ทริปเปิลที บรอดแบนด์ จำกัด(มหาชน)สาขานครพนม,"042-190180,042-190100",xxx.xxx@xxx.xxx,0
สจจ.นครราชสีมา,บริษัท คลัง โอโตโมบิลส์ จำกัด (สนง.ใหญ่),044-341-888,xxx@xxx.xxx,0
สจจ.นครปฐม,บริษัท ยงเฮ้าส์ จำกัด (สาขานครปฐม),034985141,mindo_judo@hotmail.com,1
สจจ.บึงกาฬ,บริษัท อีซุซุบึงกาฬ จำกัด,042490999,bkn@doe.go.th,1
สจจ.ระยอง,ห้างหุ้นส่วนจำกัด รุ่งทรัพย์,095-4596104,Naronsak.k2504@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๔,บริษัท ทัตเทพ ๑๖ จำกัด,020035509,airchristzian@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๔,บริษัท เอ็น ซี เอส เน็ทเวิร์ค คอมมูนิเคชั่น โซลูชั่น จำกัด,02-508-0977,news@ncsnnetwork.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท แมสมาร์เกตติ้ง  จำกัด (สำนักงานใหญ่),02-683-0333 ต่อ 301-2,vasit@massmarketing.co.th,1
สจจ.นครราชสีมา,บริษัท  ราชสีมา พี.เอเอส แอนด์ ดี  จำกัด,"0931399071,0819661577",rajsima.pasd@gmail.com,1
สจจ.ร้อยเอ็ด,บริษัท ไทยเพิ่มพูลโฮมช็อป จำกัด,043032144,muchj.1693@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,เอราวัณเทค จำกัด,02-7475516,sales.erawantech@gmail.com,1
สจจ.สุพรรณบุรี,กิตติกานต์พูนทรัพย์,0918645597,doeatsuphanburi@gmail.com,1
สจจ.นครศรีธรรมราช,บริษัท ลุกซ์ รอยัล (ประเทศไทย) จำกัด สาขานครศรีธรรมราช,0991168899,Nussinee59@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท ไทเพรสไพล์ จำกัด,02-007-1414,contact@thaipresspile.com,1
สจจ.สมุทรปราการ,ห้างหุ้นส่วนจำกัด เอ็มพลาส,02-130-5228,werasak@mplast.co.th,1
สจจ.แม่ฮ่องสอน,P.N. พืชผล,053062252,Pnpll@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๒,บริษัท เอเพ็กซ์ พลาสเทค จำกัด,02-4160084,sarunrat.ph@apexplastech.com,1
สจจ.ปทุมธานี,บริษัท ควอลิตี้ ลามิเนเตอรื จำกัด,02-9871674-5,sasiwimon.s@furniline.co.th,1
สจจ.แพร่,บริษัท สิงห์แพร่พาร์ทเนอร์ จำกัด,054530769,doephrae@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท อำนวยการดับเพลิง จำกัด,02-3683688,vintex2016@gmail.com,1
สจจ.ร้อยเอ็ด,บริษัทร้อยเอ็ดมิตวู จำกัด,043624190,Roied_mitsu@hotmail.com,1
สจจ.นครศรีธรรมราช,บริษัท เอ.ซี.ดี.ซี.ซัพพลาย จำกัด,0826239313,ACDCSUPPLY2008@gmail.com,1
สจจ.เชียงราย,ห้างหุ้นส่วนจำกัด เด่นห้ามอเตอร์ กรุ๊ป,053-718707,denhamorter@hotmail.com,1
สจจ.ประจวบคีรีขันธ์,บริษัท อึ้งง่วนไต๋อีซูซุเซลล์ จำกัด (สาขา-ปราณบุรี),032-890455,sasithon_isuzu@isuzu-unt.com,1
สจจ.ปทุมธานี,บริษัท นิสชิน ฟูดส์ (ไทยแลนด์) จำกัด,02-529-2605-10,panit.b@nissinthailand.com,1
สจจ.นครพนม,บริษัท ประเสริฐผลรุ่งเรืองนครพนม  จำกัด,088-5640625,Ps_Nkp@hotmail.com,1
สจจ.สุพรรณบุรี,ห้างหุ้นส่วนจำกัด เจ.พี.ดี สุพรรณ,"089-6982440,061-5165955",nvml8444@gmail.com,0
สจจ.ลำปาง,บริษัท เอสซี ดิสทริบิวเตอร์ จำกัด สาขาลำปาง,081-9624108,chadchawan0819624108@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๗,บริษัท ศิลาตาก อินดัสตรี้ จำกัด,02-8857690,xxx11@gmail.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท อิลวา (ประเทศไทย) จำกัด,-027201004,ilhwa-thai@hotmail.com,1
สจจ.พัทลุง,หจก. เอ.แซด.ไวร์เลส แอนด์ คอมมูนิเคชั่น,"074-616857,097-3455135",koy1121@outlook.co.th,1
สจจ.ปัตตานี,คลินิกเมตตารักษาสัตว์,073-333170,xxx@xxx.xx,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๗,บริษัท ดีเอ็มดีแอล จำกัด (มหาชน),027602000,tanas.k@dutchmill.co.th,1
สจจ.สุพรรณบุรี,บริษัทสีสุพรรณ จำกัด,"035-412777,081-4946444",spb@doe.go.th,1
สจจ.ระยอง,บริษัท เฟื่องฟู กรุ๊ป จำกัด,087-5529595,000@gmail.com,0
สจจ.ชลบุรี,บริษัท แอล ที เค อินเตอร์เทรดดิ้ง จำกัด,038-274111-3,123@hotmail.com,0
สจจ.สิงห์บุรี,ห้างหุ้นส่วนจำกัด ไชยแสง ดีพาร์ทเมนท์สโตร์,036-512073,suchung27@hotmail.com,1
สจจ.ชลบุรี,บริษัท เดอเบล จำกัด (สาขาชลบุรี),038-387-420-23,123@hotmail.com,0
สจจ.สิงห์บุรี,บริษัท คูโบต้า สิงห์บุรี จำกัด,036-507099,kubotasingburi_hr@hotmail.com,1
สจจ.สิงห์บุรี,บริษัท สิงห์บุรี อีซูซุเซลส์ จำกัด,036512788,sbr@doe.go.th,1
สจจ.นครปฐม,ห้างหุ้นส่วนจำกัด หัวใจ แดรี่,0943875371,mindo_judo@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๓,บริษัท แฟรงเก้ (ประเทศไทย) จำกัด,02-0137900,chengchao.rangsipol@franke.com,1
สจจ.เพชรบุรี,บริษัท พรนุภาพ เอ็มจี,032-488498,account2@pornnuphap.co.th,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท พรอมิส (ประเทสไทย) จำกัด,026558574,jobs@promise.co.th,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๙,บริษัท ยูคอล เทคโนโลยี จำกัด,095-218-2100,xxx@xxx.xxx,0
สจจ.เชียงราย,บริษัท สิงห์นาราชา จำกัด,087-1731118,aj.chiangrai.89@gmail.com,1
สจจ.สุรินทร์,บริษัท ชัย ซัพพลาย แอนด์ เซอร์วิส จำกัด,"064-2956253,089-8654556",chaisupplyandservice@gmail.com,1
สจจ.ชัยนาท,บริษัท โตโยต้า ชัยนาท 2015 จำกัด,056513024,xxx@xxx.xxx,0
สจจ.สงขลา,บริษัท ออร์เนท เอสดีโอ จำกัด สาขาหาดใหญ่,074-552347,hr_hdy@ornategroup.com,1
สจจ.สมุทรสงคราม,ร้านรุ่งมณี,0612599559,winai2@jjc2009.com,1
สจจ.กระบี่,บริษัท เอก-ชัย ดิสทริบิวชั่น ซิสเทม จำกัด (สาขาอ่าวลึก ),075634376,supo49-gsm@tesco.com,1
สจจ.ปราจีนบุรี,บริษัท โตโยต้าปราจีนบุรี(1993)ผู้จำหน่ายโตโยต้า จำกัด,037-217555,toyota@gmail.com,1
สจจ.ปราจีนบุรี,บริษัท อีซูซุปราจีนบุรีมอเตอร์เซลส์ จำกัด,037239444,hrisuzupcs@gmail.com,1
สจจ.ปราจีนบุรี,บริษัท สยามสไมล์โบรกเกอร์ประเทศไทย) จำกัด,082-1107335,tarakorn.isc@gmail.com,1
สจจ.พัทลุง,บริษัท เอ็มจี พัทลุง จำกัด,"074-829515,081-9907310",jiraporn_madaeng@yahoo.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๔,บริษัท มูฟฟาสท์ จำกัด,020148888,r.kangwalwatahasiti@gmail.com,1
สจจ.อุบลราชธานี,ห้างหุ้นส่วนจำกัด โคโนมิแลนด์,0945166451,parinda_w@hotmail.com,1
สจจ.นครนายก,บริษัท แอดไวซ์ นครนายก จำกัด,081-4844474,advice824@gmail.com,1
สจจ.อุบลราชธานี,บริษัท โฮมฮับ จำกัด,045-319511,hrt.homehub@gmail.com,1
สจจ.อุบลราชธานี,บริษัท นิธิเลิศ จำกัด,098-9599298,nitilert.co.ltd@gmail.com,1
สจจ.ตราด,บานาน่า ไอที ตราด,098-4249395,t@gmail.com,1
สจจ.ตราด,บจก.ทีคิวเอ็ม อินชัวร์รันส์ โบรคเกอร์ (สาขาตราด),039532161,tratsmartjob@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท เบทเตอร์เวย์ (ประเทศไทย) จำกัด (สำนักงานใหญ่),02917000,hrm@mistine.co.th,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท เอเชี่ยน เทรด ซัพพลาย จำกัด,023720020,cdmn_ats@hotmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๘,ร้านทรัพย์ทวีทอง,0941462644,Email@Email.com,1
สจจ.พิษณุโลก,บริษัท ชินราช เอส.ดี.โอ จำกัด สาขาพิษณุโลก,"086-3684025,055-983125",puntita.u@cnr.co.th,1
สจจ.สกลนคร,บริษัทสกลโฮมเซ็นเตอร์ จำกัด,042-731202-9,sakolhome@yahoo.co.th,1
สจจ.ตาก,บริษัท ซีพี ออลล์ จำกัด (มหาชน) (สาขาบ้านตาก),0000000000,smartjobtak@gmail.com,1
สจจ.เชียงใหม่,บริษัท ซัคเซซ เซอร์วิสเชียงใหม่ จำกัด,"089-9022091 ,063-2262395",Success.Chiangmai@gmail.com,1
สจจ.ปทุมธานี,บริษัท คอสโมโกลด์ จำกัด (สาขาปทุมธานี),02-1217408,cosmogold20203@gmail.com,1
สจจ.ปทุมธานี,บริษัท โกลด์ ริช คอร์ปอเรชั่น จำกัด,02-0302638,goldrich.grc@gmail.com,1
สจจ.ปทุมธานี,หจก.เอ็น.เอ็ม.พี.อินเตอร์ซัพพลาย,"097-974-4494,086-5394445",nmpintersupply@gmail.com,1
สจจ.เชียงใหม่,บริษัท โปรฟาสซิโน จำกัด ศูนย์ยาเชียงใหม่,053-261150 ต่อ 121,cm_admin@profascino.co.th,1
สจจ.นนทบุรี,บริษัท เอก-ชัย ดิสทริบิวชั่น ซิสเทม จำกัด (สาขา175 ) เลขที่ 888,02-1941425,hr@hotmail.com,1
สจจ.สมุทรปราการ,บริษัท แบตเตอรี่ เทคนิค เทรดดิ้ง จำกัด,02-360-2797,xxx@gmail.com,0
สจจ.สมุทรปราการ,บริษัท โรบินสัน จำกัด (มหาชน) สาขาสมุทรปราการ,02-174-2911-20,xxx@gmail.com,0
สจจ.สมุทรปราการ,บริษัท ออลล์ ดิสเคาท์ จำกัด (สาขาบางปู),02-2580515,xx@gmail.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท ยูซีอี เทเลคอม โซลูชั่นส์ จำกัด,084-5260505,xxx@xxx.xxx,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๕,บริษัท เอสที อิเลคคอม จำกัด,029769314,xxx@xxx.xxx,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑๐,บริษัท คิง เพาเวอร์ ดิวตี้ฟรี จำกัด,021348888,chomvalee_n@kingpower.com,1
สจจ.มหาสารคาม,บริษัท ไฮเปอร์ เบฟเวอรเรช จำกัด  สาขามหาสารคาม,0637518822,xxxxx@xxxx.com,0
สจจ.จันทบุรี,บจก.โตโยต้าสมายจันทบุรี,039-426999,cti@doe.go.th,1
สจจ.มหาสารคาม,บริษัทเจนเนอราลี่ ประกันชีวิต (ไทยแลนด์) จำกัด (มหาชน) สาขามหาสารคาม,0835085590,xxxx@xxxx.com,0
สจจ.มหาสารคาม,บริษัท ครัวนภัส มาร์เก็ตติ้ง จำกัด สาขามหาสารคาม,0638706950,xxx@xxx.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๑,บริษัท ประกายนครกรุ๊ป จำกัด,0-2291-0995,hrd@praguynakorn.com,1
สจจ.ฉะเชิงเทรา,บริษัท ทีเอ็นทีที โลจิสติกส์ โซลูชั่นส์ จำกัด,038571551-58,00@gmail.com,1
สจจ.เชียงใหม่,บริษัท ไอซีเอ็ม มาร์เก็ตติ้ง จำกัด,"063-5060022 ,090-7594174",xxx@xxx.xxx,0
สจจ.กาญจนบุรี,บริษัท จีเอสอี คอร์ปอเรชั่น จำกัด (สาขากาญจนบุรี),0801071232,xxx@xxx.com,0
สจจ.กาญจนบุรี,บริษัท ซีแอลเอ็ม เทคโนโลยี จำกัด,034566791,Lisa0631@gmail.com,1
สจจ.ยะลา,ร้านโตเกียว สปอร์ต,0-7321-5009,yaladoe95@gmail.com,1
สจจ.ยะลา,บริษัท ยะลานำรุ่ง จำกัด,073-222841,yaladoe@hotmail.com,1
สจจ.กระบี่,บมจ. บิ๊กซีซูเปอร์เซ็นเตอร์ สาขากระบี่,063-2145706,krabidoe2014@gmail.com,1
สจจ.กระบี่,บริษัท อัยธนา (กระบี่) จำกัด,075613272,Saideksa_061@hotmail.com,1
สจจ.กระบี่,บริษัท เอ็นที จำกัด (บีทาเก้น),0910349151,vinun@ntnthai.com,1
สจจ.สุพรรณบุรี,ตรีปั้นจั่น โมบาย จำกัด,035-586203,noolek-naja@hotmail.co.th,1
สจจ.กระบี่,ภาณุรัตน์,0640289994,pongpira@gmail.com,1
สจจ.กระบี่,บ.ไฮเทค เทคโรโลยี่,0892123311,krabidoe2014@gmail.com,1
สจจ.ระนอง,บริษัท ตันปุ้นเซลล์ แอนด์ เซอร์วิส จำกัด,077-811522,tampoonsalesandservice@hotmail.com,1
สจจ.พัทลุง,ห้างหุ้นส่วนจำกัด ปิ่นทองแทรคเตอร์,"074-641577,083-3654885",winai1417@hotmail.com,1
สจจ.น่าน,นายพัฒนบดี ศรีช่างเงิน(เอ็ม บ้านขนมเด็ก),"0932524105,0848096224",leemeoff_laek@hotmail.com,1
สจจ.ตาก,สยามนิสสัน แม่สอด จำกัด (สาขาตาก),094-1585466,smartjobtak@gmail.com,1
สจจ.ตาก,ซีอาร์ซี ไทวัสดุ  จำกัด (สาขาตาก),0000000000,smartjobtak@gmail.com,1
สจจ.ตาก,เอก-ชัย ดีสทริบิวชั่น ซิสเทม จำกัด (ตาก),0882932155,smartjobtak@gmail.com,1
สจจ.ราชบุรี,บริษัท วังมะนาวเกษตรภัณฑ์ จำกัด,032-281145,wmn_ksp@hotmail.com,1
สจจ.นครพนม,บริษัท ไทยลอตเต้ จำกัด  สาขานครพนม,083-0968206,xx.xx@xx.xx,0
สจจ.ขอนแก่น,บริษัท โตโยต้า อมตะ  จำกัด,043-240333,hrd@toyota-amata.com,1
สจจ.ขอนแก่น,บริษัท ไพรัช โฮมเดคคอร์ จำกัด,"0885644332, 043345555",hr.prhomedecor@gmail.com,1
สจจ.เพชรบูรณ์,หจก.ปู่เฮ็ง ดิสทิบิวชั่น (ไอศกรีมวอลล์),.0882809903,jembron@hotmail.com,1
สจจ.นครปฐม,บริษัท ดับบลิว.ซี ดีไซน์ จำกัด,089-2011690,mindo_judo@hotmail.com,1
สจจ.นครปฐม,บริษัท พีเพิ่ล(ประเทศไทย)จำกัด,03427013,office@people.co.th,1
สจจ.นครปฐม,บริษัท ธาราทอง 1998  จำกัด,034326611,l-liti-jopjop_@hotmail.com,1
สจจ.สงขลา,บริษัท ก.ชัยแสง เทรดดิ้ง จำกัด,074-414414-20,natthawut.a@korchaisaeng.co.th,1
สจจ.สงขลา,บริษัท นอบ ออโต้คาร์ จำกัด,074-801897 / 091-1696752,Nittaya.ontong@gmail.com,1
สจจ.บึงกาฬ,KFC สาขาโลตัสบึงกาฬ,084-7516034,bkn@doe.go.th,1
สจจ.สุรินทร์,บริษัท คุณเฮงยานยนต์สุรินทร์ (1999) จำกัด,044-519100-1,xxx@xx.xx,0
สจจ.สุรินทร์,บริษัท โชติรสเอ็นดีพี จำกัด สาขา2 (สุรินทร์),085-4799228/085-4799041,chotiros.surin5@gmail.com,1
สจจ.สุรินทร์,บริษัท คูย่งฮวด (1995) จำกัด,044-511061,chanitnunt.s@gmail.com,1
สจจ.สุรินทร์,บริษัท วรรณเทพยนต์ จำกัด (สำนักงานใหญ่),"044-530700,044-531700",wannathep@gmail.com,1
สจจ.สุรินทร์,บริษัท ซีอาร์ซี เพาเวอร์ รีเทล จำกัด (สาขาไทวัสดุ สุรินทร์),"044-714080-2,044-530900",xxx@xxxxxxx.xxx,0
สจจ.สุรินทร์,หจก.ชัยโทรทัศน์,"044-513347,044-514525",chaithorathud@gmail.com,1
สจจ.สุรินทร์,บริษัท ดูโฮม จำกัด (มหาชน) สาขาสุรินทร์,092-2697398,surin@dohome.co.th,1
สจจ.สุรินทร์,บริษัท พีเอโฟน จำกัด สาขาสุรินทร์พลาซ่า,062-2010487,paphone_surinplaza@gmail.com,1
สจจ.สุรินทร์,หจก.สุรินทร์เทเลคอม (เทเลวิชสุรินทร์),084-9595005,sprompradit@gmail.com,1
สจจ.สุรินทร์,บริษัท โตโยต้าสุรินทร์ (1991) จำกัด,044-710555 ต่อ 210 (บุคคล),hrtoyota02@gmail.com,1
สจจ.สุรินทร์,บริษัท สยามโกลบอลเฮ้าส์ สาขาสุรินทร์ จำกัด,044-514515,xxx@hotmail.com,0
สจจ.สุรินทร์,ไหมวริษา,0885954201,xxx.xx@hotmail.com,0
สจจ.สุรินทร์,บริษัท บี-มิกซ์ คอนกรีต จำกัด,044-558991-2,xxx@xxxxxxx.xxx,0
สจจ.สุรินทร์,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด สาขาสุรินทร์,086-4609785,xxx@xxx.com,0
สจจ.สุรินทร์,บริษัท สินไทย เอเอสแอนด์ดี จำกัด,0883774400,sinthai.asd@gmail.com,1
สจจ.นครสวรรค์,บริษัท เอ็น.ซี.เอส.โกลด์เบรด จำกัด (นครสวรรค์),0632048019,xxx@xxx.com,0
สจจ.นครสวรรค์,บริษัท ไอยรา แพลนเน็ต จำกัด นครสวรรค์,0648616591,xxx@xxx.com,0
สจจ.นครสวรรค์,บริษัท ย่ง ยู่ เส็ง จำกัด,0909824464,xxx@xxx.com,0
สจจ.นครสวรรค์,บริษัท โพลีเฮอร์บ จำกัด,0654268993,xxx@xxx.com,0
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๙,บริษัท แม็คเอ็ดดูเคชั่น กำจัด,0818292372/0-2512-0661,wasan.san@maceducation.com,1
สจจ.สงขลา,บริษัท คลองแหค้าเหล็ก จำกัด,074-244605 / 061-1735552,poonyapat.duan@gmail.com,1
สำนักงานจัดหางานกรุงเทพมหานครพื้นที่ ๙,บริษัท แม็คเอ็ดดูเคชั่น กำจัด,0818292372/0-2512-0661,wasan.san@maceducation.com,1
